HMDB_ID,Name,MF,Exact_Mass,category
HMDB0000651,Decanoylcarnitine,C17H33NO4,315.2409585,0
HMDB0000652,Chondroitin 4-sulfate,C14H23NO15S,477.07884,0
HMDB0000653,Cholesterol sulfate,C27H46O4S,466.3116807,0
HMDB0000656,Cysteineglutathione disulfide,C13H22N4O8S2,426.0879051,0
HMDB0000658,CE(16:1(9Z)),C43H74O2,622.5688816,0
HMDB0000666,Heptanoic acid,C7H14O2,130.0993797,0
HMDB0000667,L-Thyronine,C15H15NO4,273.100108,0
HMDB0000668,Hematoporphyrin IX,C34H38N4O6,598.279135,0
HMDB0000670,Homo-L-arginine,C7H16N4O2,188.1273258,0
HMDB0000671,Indolelactic acid,C11H11NO3,205.0738932,0
HMDB0000672,Hexadecanedioic acid,C16H30O4,286.2144094,0
HMDB0000673,Linoleic acid,C18H32O2,280.2402303,0
HMDB0000674,PA(16:0/16:0),C35H69O8P,648.4730062,0
HMDB0000675,Iodine,I2,253.8089368,0
HMDB0000679,Homocitrulline,C7H15N3O3,189.1113414,0
HMDB0000682,Indoxyl sulfate,C8H7NO4S,213.0095784,0
HMDB0000683,Harderoporphyrin,C35H36N4O6,608.2634849,0
HMDB0000684,L-Kynurenine,C10H12N2O3,208.0847923,0
HMDB0000689,Isocaproic acid,C6H12O2,116.0837296,0
HMDB0000691,Malonic acid,C3H4O4,104.0109586,0
HMDB0000693,Heparan sulfate,C14H25NO21S3,639.0081198,0
HMDB0000698,Lithocholic acid glycine conjugate,C26H43NO4,433.3192089,0
HMDB0000699,1-Methylnicotinamide,C7H8N2O,136.0636629,0
HMDB0000701,Hexanoylglycine,C8H15NO3,173.1051934,0
HMDB0000704,Isoxanthopterin,C6H5N5O2,179.0443244,0
HMDB0000705,Hexanoylcarnitine,C13H25NO4,259.1783583,0
HMDB0000706,Aspartylphenylalanine,C13H16N2O5,280.1059216,0
HMDB0000707,4-Hydroxyphenylpyruvic acid,C9H8O4,180.0422587,0
HMDB0000709,L-Cysteinylglycine disulfide,C8H15N3O5S2,297.045312,0
HMDB0000712,Hexadecanedioic acid mono-L-carnitine ester,C23H43NO6,429.3090381,0
HMDB0000714,Hippuric acid,C9H9NO3,179.0582432,0
HMDB0000715,Kynurenic acid,C10H7NO3,189.0425931,0
HMDB0000718,Isovaleric acid,C5H10O2,102.0680796,0
HMDB0000721,Glycylproline,C7H12N2O3,172.0847923,0
HMDB0000722,Lithocholyltaurine,C26H45NO5S,483.3018442,0
HMDB0000726,Isovalerylglutamic acid,C10H17NO5,231.1106727,0
HMDB0000727,L-Threoneopterin,C9H11N5O4,253.0811039,0
HMDB0000728,Hydroxypropionic porphyrin III,C39H38N4O14,786.2384519,0
HMDB0000730,Isobutyrylglycine,C6H11NO3,145.0738932,0
HMDB0000731,Cysteine-S-sulfate,C3H7NO5S2,200.9765637,0
HMDB0000732,Hydroxykynurenine,C10H12N2O4,224.0797069,0
HMDB0000734,Indoleacrylic acid,C11H9NO2,187.0633285,0
HMDB0000735,Hydroxyphenylacetylglycine,C10H11NO4,209.0688078,0
HMDB0000736,Isobutyryl-L-carnitine,C11H21NO4,231.1470582,0
HMDB0000738,Indole,C8H7N,117.0578492,0
HMDB0000742,Homocysteine,C4H9NO2S,135.0353992,0
HMDB0000743,Hexacarboxylporphyrin I,C38H38N4O12,742.2486227,0
HMDB0000753,3-Hexanone,C6H12O,100.088815,0
HMDB0000757,Glycogen,C24H42O21,666.2218584,0
HMDB0000763,5-Hydroxyindoleacetic acid,C10H9NO3,191.0582432,0
HMDB0000764,Hydrocinnamic acid,C9H10O2,150.0680796,0
HMDB0000766,N-Acetyl-L-alanine,C5H9NO3,131.0582432,0
HMDB0000768,N-Acetyl-9-O-lactoylneuraminic acid,C14H23NO11,381.1271106,0
HMDB0000770,N-Glycoloylganglioside GM2,C43H85NO8,743.6275187,0
HMDB0000772,Nonadecanoic acid,C19H38O2,298.2871805,0
HMDB0000774,Pregnenolone sulfate,C21H32O5S,396.1970448,0
HMDB0000781,N-Acetylgalactosamine 4-sulphate,C8H15NO9S,301.0467518,0
HMDB0000782,Octadecanedioic acid,C18H34O4,314.2457096,0
HMDB0000784,Azelaic acid,C9H16O4,188.104859,0
HMDB0000785,N-Acetyl-7-O-acetylneuraminic acid,C13H21NO10,351.1165459,0
HMDB0000788,Orotidine,C10H12N2O8,288.0593654,0
HMDB0000789,Pentacarboxylporphyrin I,C37H38N4O10,698.2587935,0
HMDB0000790,N-Palmitoylsphingosine,C34H67NO3,537.512095,0
HMDB0000791,L-Octanoylcarnitine,C15H29NO4,287.2096584,0
HMDB0000792,Sebacic acid,C10H18O4,202.1205091,0
HMDB0000793,Monoiodothyronine,C15H14INO4,398.9967514,0
HMDB0000798,Oenanthic ether,C9H18O2,158.1306798,0
HMDB0000802,Pterin,C6H5N5O,163.0494098,0
HMDB0000806,Myristic acid,C14H28O2,228.2089301,0
HMDB0000809,N-Glycoloylganglioside GM1,C77H139N3O30,1585.94434,0
HMDB0000810,Dimethylprotoporphyrin IX dimethyl ester,C36H38N4O4,590.2893057,0
HMDB0000816,Phosphoglycolic acid,C2H5O6P,155.9823744,0
HMDB0000820,Propyl alcohol,C3H8O,60.05751488,0
HMDB0000821,Phenylacetylglycine,C10H11NO3,193.0738932,0
HMDB0000824,Propionylcarnitine,C10H19NO4,217.1314081,0
HMDB0000825,3'-Sialyllactose,C23H39NO19,633.2116281,0
HMDB0000826,Pentadecanoic acid,C15H30O2,242.2245802,0
