"ID","mz","MF","Name","category"
44,83.04834718,"C3H5N3","5-Aminoimidazole",0
45,83.07349929,"C5H9N","(+)-2,3-Dihydro-3-methyl-1H-pyrrole",0
46,83.95335548,"CH2Cl2","Dichloromethane",0
47,83.96142157,"ClHO3","Chlorate",0
48,84.00337082,"C4H4S","Thiophene",0
49,84.02112937,"C4H4O2","4-Hydroxy-2-butenoic acid gamma-lactone",0
50,84.03236276,"C3H4N2O","Imidazolone",0
51,84.05751488,"C5H8O","Methyl propenyl ketone",0
52,84.06874827,"C4H8N2","2-(Dimethylamino)acetonitrile",0
53,84.09390038,"C6H12","Cyclohexane",0
54,84.99861979,"C3H3NS","Thiazole",0
55,85.05276385,"C4H7NO","2-Pyrrolidinone",0
56,85.08914936,"C5H11N","Piperidine",0
57,86.01902088,"C4H6S","2,3-Dihydrothiophene",0
58,86.03677944,"C4H6O2","Gamma-Butyrolactone",0
59,86.07316494,"C5H10O","Iso-Valeraldehyde",0
60,86.08439833,"C4H10N2","Piperazine",0
61,86.10955045,"C6H14","Hexane",0
62,87.03202841,"C3H5NO2","2-Aminoacrylic acid",0
63,87.06841392,"C4H9NO","4-Aminobutyraldehyde",0
64,87.10479942,"C5H13N","3-Methyl-1-butylamine",0
65,88.01604399,"C3H4O3","Pyruvic acid",0
66,88.03467095,"C4H8S","3-(Methylthio)-1-propene",0
67,88.0524295,"C4H8O2","Butyric acid",0
68,88.06366289,"C3H8N2O","Dimethylurea",0
69,88.08881501,"C5H12O","Isopentanol",0
70,88.10004839,"C4H12N2","Putrescine",0
71,89.01129296,"C2H3NO3","(hydroxymethylidene)carbamic acid",0
72,89.04767847,"C3H7NO2","beta-Alanine",0
73,89.08406398,"C4H11NO","Dimethylethanolamine",0
74,89.98724243,"C3H3ClO","cis-3-Chloroallyl aldehyde",0
75,89.99530855,"C2H2O4","Oxalic acid",0
76,90.0139355,"C3H6OS","1-Mercapto-2-propanone",0
77,90.03169406,"C3H6O3","Glyceraldehyde",0
78,90.04292744,"C2H6N2O2","(aminomethyl)carbamic acid",0
79,90.05032101,"C4H10S","2-Methyl-1-propanethiol",0
80,90.06807956,"C4H10O2","2,3-Butanediol",0
81,91.02694303,"C2H5NO3","(hydroxymethyl)carbamic acid",0
82,91.980624,"CH2NO2S","Cyanosulfurous acid anion",0
83,92.00289249,"C3H5ClO","(Chloromethyl)oxirane",0
84,92.02958557,"C3H8OS","Cibulins",0
85,92.04734412,"C3H8O3","Glycerol",0
86,92.06260026,"C7H8","Toluene",0
87,92.97069048,"CH3NS2","Thiocarbamic acid",0
88,93.05784923,"C6H7N","Aniline",0
89,93.98215705,"C2H3ClO2","Chloroacetic acid",0
90,93.99109157,"C2H6S2","Dimethyldisulfide",0
91,94.00885013,"C2H6O2S","Dimethyl sulfone",0
92,94.01854255,"C3H7ClO","2-Chloro-1-propanol",0
93,94.04186481,"C6H6O","Phenol",0
94,94.0530982,"C5H6N2","Methylpyrazine",0
95,94.07825032,"C7H10","1-Methyl-1,3-cyclohexadiene",0
96,95.03711379,"C5H5NO","2-Hydroxypyridine",0
97,95.07349929,"C6H9N","2,5-Dimethyl-1H-pyrrole",0
98,95.94782196,"CH4Se","Methaneselenol",0
99,96.02112937,"C5H4O2","2-Furancarboxaldehyde",0
100,96.05751488,"C6H8O","2-Methyl-2-cyclopenten-1-one",0
101,96.98336366,"H3NO3S","Amidosulfonic acid",0
102,97.05276385,"C5H7NO","1-Cyano-2-hydroxy-3-butene",0
103,97.96737954,"H2O4S","Sulfate",0
104,97.96900554,"C2H4Cl2","1,2-Dichloroethane",0
105,97.97689521,"H3O4P","Hydrogen phosphate",0
106,98.01902088,"C5H6S","2-Methylthiophene",0
107,98.03677944,"C5H6O2","2-Furanmethanol",0
108,98.04801282,"C4H6N2O","4-Hydroxymethylpyrazole",0
109,98.07316494,"C6H10O","Cyclohexanone",0
110,98.08439833,"C5H10N2","xi-4,5-Dihydro-2,4(5)-dimethyl-1H-imidazole",0
111,98.10955045,"C7H14","(E)-Hept-2-ene",0
112,99.01426986,"C4H5NS","Allyl isothiocyanate",0
113,99.03202841,"C4H5NO2","(R)-Dihydromaleimide",0
114,99.06841392,"C5H9NO","2-Piperidinone",0
115,99.10479942,"C6H13N","Cyclohexylamine",0
116,100.0135993,"C2H3F3O","ETF",0
117,100.016044,"C4H4O3","Succinic anhydride",0
118,100.0346709,"C5H8S","2,3-Dihydro-2-methylthiophene",0
119,100.0524295,"C5H8O2","Senecioic acid",0
120,100.0636629,"C4H8N2O","N-Nitroso-pyrrolidine",0
121,100.088815,"C6H12O","3-Hexanone",0
122,100.1252005,"C7H16","N-Heptane",0
123,101.0299199,"C4H7NS","4,5-Dihydro-2-methylthiazole",0
124,101.0476785,"C4H7NO2","L-3-Aminodihydro-2(3H)-furanone",0
125,101.084064,"C5H11NO","Betaine aldehyde",0
126,101.1204495,"C6H15N","Nervonyl carnitine",0
127,102.0139355,"C4H6OS","Dihydro-3(2H)-thiophenone",0
128,102.0316941,"C4H6O3","2-Ketobutyric acid",0
129,102.0429274,"C3H6N2O2","Cycloserine",0
130,102.050321,"C5H10S","3-Methyl-2-butene-1-thiol",0
131,102.0680796,"C5H10O2","Isovaleric acid",0
132,102.1044651,"C6H14O","1-Hexanol",0
133,102.1156985,"C5H14N2","Cadaverine",0
134,103.026943,"C3H5NO3","Pyruvatoxime",0
135,103.04557,"C4H9NS","(<U+00A9><d0>?)-2-Methylthiazolidine",0
136,103.0633285,"C4H9NO2","Dimethylglycine",0
137,103.099714,"C5H13NO","Choline",0
138,103.1109474,"C4H13N3","Diethylenetriamine",0
139,104.0109586,"C3H4O4","Malonic acid",0
140,104.0295856,"C4H8OS","S-Ethyl thioacetate",0
141,104.0473441,"C4H8O3","2-Hydroxybutyric acid",0
142,104.0585775,"C3H8N2O2","2,3-Diaminopropionic acid",0
143,104.0626003,"C8H8","Styrene",0
144,104.0659711,"C5H12S","1-Pentanethiol",0
145,105.0425931,"C3H7NO3","L-Serine",0
146,105.0538265,"C2H7N3O2","N-Nitroethylenediamine",0
147,105.0789786,"C4H11NO2","Diethanolamine",0
148,105.982157,"C3H3ClO2","cis-3-Chloroacrylic acid",0
149,106.0088501,"C3H6O2S","2-Mercaptopropanoic acid",0
150,106.0266087,"C3H6O4","L-Glyceric acid",0
151,106.0418648,"C7H6O","Benzaldehyde",0
152,106.0452356,"C4H10OS","3-(Methylthio)-1-propanol",0
153,106.0629942,"C4H10O3","(2R*,3R*)-1,2,3-Butanetriol",0
154,106.0782503,"C8H10","m-Xylene",0
155,106.9854721,"CHNO5","nitrosoperoxycarbonate",0
156,106.9863405,"C2H5NS2","Methylcarbamodithioic acid K salt",0
157,107.0382566,"C3H6FNO2","alpha-Fluoro-beta-alanine",0
158,107.0582432,"C3H9NO3","Ammonium lactate",0
159,107.0734993,"C7H9N","3-Ethylpyridine",0
160,108.0067416,"C3H8S2","Bis(methylthio)methane",0
161,108.0211294,"C6H4O2","Quinone",0
162,108.0422587,"C3H8O4","2,2-Dihydroperoxypropane",0
163,108.0575149,"C7H8O","p-Cresol",0
164,108.0687483,"C6H8N2","2-Ethylpyrazine",0
165,108.0939004,"C8H12","(Z)-1,3-Octadiene",0
166,109.0197492,"C2H7NO2S","Hypotaurine",0
167,109.0527639,"C6H7NO","4-Aminophenol",0
168,109.0891494,"C7H11N","1,2,5-Trimethyl-1H-pyrrole",0
169,109.963472,"C2H6Se","Dimethyl selenide",0
170,109.9690055,"C3H4Cl2","1,3-Dichloropropene",0
171,109.9860062,"C2H6OS2","S-Methyl methanesulfinothioate",0
172,110.0134572,"C3H7ClO2","Glycerol alpha-monochlorohydrin",0
173,110.0190209,"C6H6S","2-Vinylthiophene",0
174,110.0367794,"C6H6O2","Pyrocatechol",0
175,110.0480128,"C5H6N2O","Imidazole-4-acetaldehyde",0
176,110.0731649,"C7H10O","2,3,5-Trimethylfuran",0
177,110.1095504,"C8H14","1,3-Octadiene",0
178,111.0320284,"C5H5NO2","Pyrrole-2-carboxylic acid",0
179,111.0432618,"C4H5N3O","Cytosine",0
180,111.0684139,"C6H9NO","N-Acetyl-2,3-dihydro-1H-pyrrole",0
181,111.0796473,"C5H9N3","Histamine",0
182,111.8885925,"SSe","Selenium Sulfide",0
183,111.9482701,"C2H2Cl2O","1,1-Dichloroethylene epoxide",0
184,111.9925452,"CH5O4P","Methylphosphate",0
185,111.9982854,"C5H4OS","2-Thiophenecarboxaldehyde",0
186,112.0079779,"C6H5Cl","Chlorobenzene",0
187,112.016044,"C5H4O3","3-Furoic acid",0
188,112.0272774,"C4H4N2O2","Uracil",0
189,112.0346709,"C6H8S","2,3-Dimethylthiophene",0
190,112.0524295,"C6H8O2","trans-1,2-Dihydrobenzene-1,2-diol",0
191,112.088815,"C7H12O","(Z)-4-Heptenal",0
192,112.1252005,"C8H16","1-Octene",0
193,113.0299199,"C5H7NS","2,4-Dimethylthiazole",0
194,113.0476785,"C5H7NO2","1-Pyrroline-2-carboxylic acid",0
195,113.0589119,"C4H7N3O","Creatinine",0
196,113.084064,"C6H11NO","2,5-Dihydro-2,4,5-trimethyloxazole",0
197,113.9445359,"H2O3S2","Thiosulfate",0
198,113.9928639,"C2HF3O2","Trifluoroacetic acid",0
199,114.0065419,"C3H2N2O3","Parabanic Acid",0
200,114.0139355,"C5H6OS","2-Furanmethanethiol",0
201,114.0251689,"C4H6N2S","Methimazole",0
202,114.0316941,"C5H6O3","Norfuraneol",0
203,114.0429274,"C4H6N2O2","Dihydrouracil",0
204,114.050321,"C6H10S","Di-2-propenyl sulfide",0
205,114.0680796,"C6H10O2","Delta-Hexanolactone",0
206,114.079313,"C5H10N2O","3-Amino-2-piperidone",0
207,114.1044651,"C7H14O","2-Heptanone",0
208,114.1408506,"C8H18","Octane",0
209,115.04557,"C5H9NS","1-Isothiocyanatobutane",0
210,115.0633285,"C5H9NO2","Acetamidopropanal",0
211,115.099714,"C6H13NO","Trimethylaminoacetone",0
212,115.1360995,"C7H17N","Isobutylpropylamine",0
213,115.9754415,"C4H4S2","2-Thiophenethiol",0
214,116.0109586,"C4H4O4","Fumaric acid",0
215,116.0295856,"C5H8OS","xI-Dihydro-2-methyl-3(2H)-thiophenone",0
216,116.0334254,"C2H4N4O2","Diazenedicarboxamide",0
217,116.0473441,"C5H8O3","Methylacetoacetic acid",0
218,116.0585775,"C4H8N2O2","N,N'-Diacetylhydrazine",0
219,116.0659711,"C6H12S","2-Methyl-1-methylthio-2-butene",0
220,116.0837296,"C6H12O2","Isocaproic acid",0
221,116.094963,"C5H12N2O","5-Aminopentanamide",0
222,116.1201151,"C7H16O","1-Heptanol",0
223,117.0248345,"C4H7NOS","Homocysteine thiolactone",0
224,117.0425931,"C4H7NO3","Acetylglycine",0
225,117.0538265,"C3H7N3O2","Guanidoacetic acid",0
226,117.0578492,"C8H7N","Indole",0
227,117.0789786,"C5H11NO2","Betaine",0
228,117.1153641,"C6H15NO","2-Diethylaminoethanol",0
229,117.9143832,"CHCl3","Chloroform",0
230,117.9902232,"C3H2O5","Mesoxalic acid",0
231,118.0088501,"C4H6O2S","Dihydro-4-mercapto-3(2H)-furanone",0
232,118.0266087,"C4H6O4","Methylmalonic acid",0
233,118.0418648,"C8H6O","2,4,6-Octatriyn-1-ol",0
234,118.0452356,"C5H10OS","S-Methyl butanethioate",0
235,118.0530982,"C7H6N2","7-Azaindolizine",0
236,118.0629942,"C5H10O3","3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid",0
237,118.0742276,"C4H10N2O2","2,4-Diaminobutyric acid",0
238,118.0782503,"C9H10","Indane",0
239,118.0816211,"C6H14S","Diisopropyl sulfide",0
240,118.0993797,"C6H14O2","2-Butoxyethanol",0
241,118.9096321,"Cl3N","Nitrogen chloride (NCl3)",0
242,119.0218577,"C3H5NO4","Aminomalonic acid",0
243,119.0371138,"C7H5NO","1,2-Diacylglycerol-LD-PI-pool",0
244,119.0582432,"C4H9NO3","L-Threonine",0
245,119.9345118,"CCl2F2","Dichlorodifluoromethane",0
246,119.9881147,"C3H4O3S","3-Mercaptopyruvic acid",0
247,120.0058732,"C3H4O5","Hydroxypropanedioic acid",0
248,120.0067416,"C4H8S2","1,3-Dithiane",0
249,120.0245002,"C4H8O2S","3-Methylthiopropionic acid",0
250,120.0422587,"C4H8O4","(S)-3,4-Dihydroxybutyric acid",0
251,120.0435961,"C5H4N4","Purine",0
252,120.0575149,"C8H8O","4-Hydroxystyrene",0
253,120.0608857,"C5H12OS","3-Mercapto-2-methyl-1-butanol",0
254,120.0687483,"C7H8N2","(1-Methylethenyl)pyrazine",0
255,120.0939004,"C9H12","1,2,4-Trimethylbenzene",0
256,121.0197492,"C3H7NO2S","L-Cysteine",0
257,121.0527639,"C7H7NO","Benzamide",0
258,121.0891494,"C8H11N","N,N-Dimethylaniline",0
259,121.9712863,"C2H7AsO","Dimethylarsinous acid",0
260,122.0037647,"C3H6O3S","3-Mercaptolactic acid",0
261,122.0223917,"C4H10S2","Diethyl disulfide",0
262,122.0367794,"C7H6O2","Benzoic acid",0
263,122.0401503,"C4H10O2S","Thiodiglycol",0
264,122.0480128,"C6H6N2O","Niacinamide",0
265,122.0579088,"C4H10O4","Erythritol",0
266,122.0731649,"C8H10O","4-Ethylphenol",0
267,122.0843983,"C7H10N2","Trimethylpyrazine",0
268,122.1095504,"C9H14","Santene",0
269,123.0320284,"C6H5NO2","Nicotinic acid",0
270,123.0432618,"C5H5N3O","Pyrazinamide",0
271,123.0684139,"C7H9NO","p-Anisidine",0
272,123.1047994,"C8H13N","2-(1-Propenyl)-delta1-piperideine",0
273,123.9475122,"C2H4S3","1,2,4-Trithiolane",0
274,123.9505508,"CH5AsO2","Methylarsonite",0
275,123.9791216,"C3H8Se","Trimethylselenonium",0
276,124.0016563,"C3H8OS2","Dimercaprol",0
277,124.0272774,"C5H4N2O2","Pyrazin-2-carboxylic acid",0
278,124.0346709,"C7H8S","Phenylmethanethiol",0
279,124.0524295,"C7H8O2","4-Methylcatechol",0
280,124.0636629,"C6H8N2O","Methylimidazole acetaldehyde",0
281,124.088815,"C8H12O","2,3-Dimethyl-2-cyclohexen-1-one",0
282,124.1252005,"C9H16","2,6-Dimethyl-2,4-heptadiene",0
283,125.0146638,"C2H7NO3S","Taurine",0
284,125.0241796,"C2H8NO3P","Ciliatine",0
285,125.0299199,"C6H7NS","4-Methyl-5-vinylthiazole",0
286,125.0589119,"C5H7N3O","5-Methylcytosine",0
287,125.084064,"C7H11NO","6-Acetyl-1,2,3,4-tetrahydropyridine",0
288,125.0952974,"C6H11N3","1-Methylhistamine",0
289,125.9298155,"AsH3O3","Arsenite",0
290,125.9631623,"C2H6S3","Dimethyl trisulfide",0
291,125.9718097,"CH3O5P","Foscarnet",0
292,125.9809208,"C2H6O2S2","Methyl methanethiosulfonate",0
293,125.9986794,"C2H6O4S","2-Hydroxyethanesulfonate",0
294,126.0081952,"C2H7O4P","Ethylphosphate",0
295,126.0139355,"C6H6OS","5-Methyl-2-thiophenecarboxaldehyde",0
296,126.0236279,"C7H7Cl","Benzyl chloride",0
297,126.0251689,"C5H6N2S","2-(Methylthio)pyrazine",0
298,126.0316941,"C6H6O3","1,2,3-Trihydroxybenzene",0
299,126.0429274,"C5H6N2O2","Thymine",0
300,126.050321,"C7H10S","2-Ethyl-5-methylthiophene",0
301,126.0541608,"C4H6N4O","2,4-Diamino-6-hydroxypyrimidine",0
302,126.0653942,"C3H6N6","Melamine",0
303,126.0680796,"C7H10O2","Methyl sorbate",0
304,126.1044651,"C8H14O","(E)-2-octenal",0
305,126.1408506,"C9H18","1-Nonene",0
306,126.9575428,"HNO5S","Nitrosylsulfuric acid",0
307,127.0091845,"C5H5NOS","2-Acetylthiazole",0
308,127.026943,"C5H5NO3","Hydroxyminaline",0
309,127.0381764,"C4H5N3O2","1-Methyl-4-nitroimidazole",0
310,127.04557,"C6H9NS","2-Ethyl-4-methylthiazole",0
311,127.0633285,"C6H9NO2","D-1-Piperideine-2-carboxylic acid",0
312,127.099714,"C7H13NO","Nor-psi-tropine",0
313,127.1360995,"C8H17N","(S)-2-Propylpiperidine",0
314,127.9376512,"CH4O2Se","Methylselenic acid",0
315,128.0109586,"C5H4O4","5-Hydroxy-2-furoic acid",0
316,128.0141259,"C5H5ClN2","3,5,3-triiodothyronine-4-sulfate",0
317,128.022192,"C4H4N2O3","Barbituric acid",0
318,128.0295856,"C6H8OS","2-(Methylthiomethyl)furan",0
319,128.0473441,"C6H8O3","Osmundalactone",0
320,128.0585775,"C5H8N2O2","Dihydrothymine",0
321,128.0626003,"C10H8","Naphthalene",0
322,128.0837296,"C7H12O2","1,3-Diacetylpropane",0
323,128.1201151,"C8H16O","Octanal",0
324,128.1565006,"C9H20","Nonane",0
325,129.0093748,"C4H4ClN3","3(S)-hydroxy-13-cis-docosenoyl-CoA",0
326,129.017441,"C3H3N3O3","Cyanuric acid",0
327,129.0248345,"C5H7NOS","2-Acetyl-4,5-dihydrothiazole",0
328,129.03384,"C4H4FN3O","Flucytosine",0
329,129.0425931,"C5H7NO3","Pyroglutamic acid",0
330,129.0578492,"C9H7N","3-Methylene-indolenine",0
331,129.06122,"C6H11NS","Isoamyl isothiocyanate",0
332,129.0789786,"C6H11NO2","Pipecolic acid",0
333,129.1014454,"C4H11N5","1,1-Dimethylbiguanide",0
334,129.1153641,"C7H15NO","4-Trimethylammoniobutanal",0
335,129.9143832,"C2HCl3","Trichloroethylene",0
336,129.9169152,"H2O3Se","Selenite",0
337,129.9394499,"H2O4S2","Dithionous acid",0
338,129.9588348,"C2H4Cl2O2","2,2-dichloro-1,1-ethanediol",0
339,129.9910916,"C5H6S2","2-Thiophenemethanethiol",0
340,130.0088501,"C5H6O2S","4-Hydroxy-5-methyl-3(2H)-thiophenone",0
341,130.0178556,"C4H3FN2O2","Fluorouracil",0
342,130.0266087,"C5H6O4","Glutaconic acid",0
343,130.0452356,"C6H10OS","2-[(Methylthio)methyl]-2-butenal",0
344,130.0629942,"C6H10O3","2-Methyl-3-ketovaleric acid",0
345,130.0742276,"C5H10N2O2","L-cis-3-Amino-2-pyrrolidinecarboxylic acid",0
346,130.0816211,"C7H14S","3-Methylcyclohexanethiol",0
347,130.0993797,"C7H14O2","Heptanoic acid",0
348,130.1106131,"C6H14N2O","N-Acetylputrescine",0
349,130.1218465,"C5H14N4","Agmatine",0
350,130.1357652,"C8H18O","Octanol",0
351,130.1469986,"C7H18N2","N(1)-isopropyl-2-methylpropan-1,2-diamine",0
352,131.0218577,"C4H5NO4","Iminoaspartic acid",0
353,131.0582432,"C5H9NO3","N-Acetyl-L-alanine",0
354,131.0694765,"C4H9N3O2","Creatine",0
355,131.0734993,"C9H9N","3-Methylindole",0
356,131.0768701,"C6H13NS","(<U+00A9><d0>?)-2-Propylthiazolidine",0
357,131.0946287,"C6H13NO2","L-Isoleucine",0
358,131.1058621,"C5H13N3O","N-Carbamoylputrescine",0
359,131.1422476,"C6H17N3","Norspermidine",0
360,131.9300332,"C2H3Cl3","1,1,1-Trichloroethane",0
361,132.0058732,"C4H4O5","Oxalacetic acid",0
362,132.0067416,"C5H8S2","2,3-Dihydro-5-methyl-3-thiophenethiol",0
363,132.0211294,"C8H4O2","2,4,6-Octatriynoic acid",0
364,132.0245002,"C5H8O2S","3-Methyl sulfolene",0
365,132.0335056,"C4H5FN2O2","5,6-Dihydro-5-fluorouracil",0
366,132.0422587,"C5H8O4","Monoethyl malonic acid",0
367,132.0534921,"C4H8N2O3","Ureidopropionic acid",0
368,132.0575149,"C9H8O","Cinnamaldehyde",0
369,132.0608857,"C6H12OS","4-Mercapto-4-methyl-2-pentanone",0
370,132.0687483,"C8H8N2","1-Methylpyrrolo[1,2-a]pyrazine",0
371,132.0786443,"C6H12O3","2-Hydroxy-3-methylpentanoic acid",0
372,132.0898776,"C5H12N2O2","Ornithine",0
373,132.0939004,"C10H12","p-Mentha-1,3,5,8-tetraene",0
374,132.0972712,"C7H16S","2-Heptanethiol",0
375,132.101111,"C4H12N4O","(3-Aminopropoxy)guanidine",0
376,132.1150298,"C7H16O2","xi-1-Butoxy-1-methoxyethane",0
377,133.0019906,"C4H7NS2","1-Isothiocyanato-2-(methylthio)ethane",0
378,133.0375077,"C4H7NO4","L-Aspartic acid",0
379,133.0527639,"C8H7NO","Indoxyl",0
380,133.0639972,"C7H7N3","3-Methylpyrrolo[1,2-a]pyrazine",0
381,133.0738932,"C5H11NO3","L-2-Amino-5-hydroxypentanoic acid",0
382,133.0891494,"C9H11N","1,2,3,4-Tetrahydroisoquinoline",0
383,133.9318621,"C3H2S3","3H-1,2-Dithiole-3-thione",0
384,134.0215233,"C4H6O5","L-Malic acid",0
385,134.0223917,"C5H10S2","3,3-Dimethyl-1,2-dithiolane",0
386,134.0327567,"C3H6N2O4","(S)-Ureidoglycolic acid",0
387,134.0367794,"C8H6O2","Phthalide",0
388,134.0401503,"C5H10O2S","Ethyl 2-mercaptopropionate",0
389,134.0480128,"C7H6N2O","4-(Hydroxymethyl)benzenediazonium(1+)",0
390,134.0579088,"C5H10O4","2,3-Dihydroxyvaleric acid",0
391,134.0592462,"C6H6N4","Dihydropteridine",0
392,134.0691422,"C4H10N2O3","L-Canaline",0
393,134.0731649,"C9H10O","(4-Methylphenyl)acetaldehyde",0
394,134.0765358,"C6H14OS","(+/-)-3-(Ethylthio)butanol",0
395,134.0843983,"C8H10N2","5,6,7,8-Tetrahydroquinoxaline",0
396,134.0942943,"C6H14O3","Polypropylene glycol (m w 1,200-3,000)",0
397,134.1095505,"C10H14","p-Cymene",0
398,135.0142699,"C7H5NS","Benzothiazole",0
399,135.0320284,"C7H5NO2","2-Benzoxazolol",0
400,135.0353992,"C4H9NO2S","Homocysteine",0
401,135.0531578,"C4H9NO4","(+)-threo-2-Amino-3,4-dihydroxybutanoic acid",0
402,135.0544952,"C5H5N5","Adenine",0
403,135.0684139,"C8H9NO","N-Acetylarylamine",0
404,135.1047994,"C9H13N","(R)-Amphetamine",0
405,135.9791221,"C4H8Se","Methyl 2-propenyl selenide",0
406,136.0016563,"C4H8OS2","S-Methyl 2-propene-1-sulfinothioate",0
407,136.0346709,"C8H8S","Phenyl vinyl sulfide",0
408,136.0371734,"C4H8O5","Erythronic acid",0
409,136.0380418,"C5H12S2","1-Pentanesulfenothioic acid",0
410,136.0385108,"C5H4N4O","Hypoxanthine",0
411,136.0524295,"C8H8O2","Phenylacetic acid",0
412,136.0636629,"C7H8N2O","1-Methylnicotinamide",0
413,136.0735589,"C5H12O4","2-Methylerythritol",0
414,136.0748963,"C6H8N4","Tetrahydropteridine",0
415,136.088815,"C9H12O","2,3,6-Trimethylphenol",0
416,136.1000484,"C8H12N2","Phenelzine",0
417,136.1252005,"C10H16","D-Limonene",0
418,137.0299199,"C7H7NS","1H-Pyrrolo[2,1-c][1,4]thiazine",0
419,137.0476785,"C7H7NO2","Trigonelline",0
420,137.0589119,"C6H7N3O","Isoniazid",0
421,137.084064,"C8H11NO","Tyramine",0
422,137.9631623,"C3H6S3","1,3,5-Trithiane",0
423,137.9662009,"C2H7AsO2","Dimethylarsinic acid",0
424,137.966201,"AsC2H7O2","Dimethylarsinate",0
425,138.0081952,"C3H7O4P","Fosfomycin",0
426,138.0316941,"C7H6O3","4-Hydroxybenzoic acid",0
427,138.0429274,"C6H6N2O2","Urocanic acid",0
428,138.050321,"C8H10S","Benzyl methyl sulfide",0
429,138.0541608,"C5H6N4O","8-Hydroxypurine",0
430,138.0680796,"C8H10O2","Tyrosol",0
431,138.079313,"C7H10N2O","2-Ethoxy-3-methylpyrazine",0
432,138.1044651,"C9H14O","2-Pentylfuran",0
433,138.1408506,"C10H18","xi-p-Menth-3-ene",0
434,139.026943,"C6H5NO3","4-Nitrophenol",0
435,139.0381764,"C5H5N3O2","5-Hydroxypyrazinamide",0
436,139.04557,"C7H9NS","2,4-Dimethyl-5-vinylthiazole",0
437,139.0633285,"C7H9NO2","3,4-Dihydroxybenzylamine",0
438,139.0745619,"C6H9N3O","Histidinal",0
439,139.099714,"C8H13NO","9-Azabicyclo[3.3.1]nonan-3-one",0
440,139.1109474,"C7H13N3","Na,Na-Dimethylhistamine",0
441,139.9454654,"CH5AsO3","Methylarsonate",0
442,139.9754415,"C6H4S2","Liquid thiophthene",0
443,139.9779444,"C2H4O5S","(2-oxoethoxy)sulfonic acid",0
444,139.9788123,"C3H8S3","Methyl (methylthio)methyl disulfide",0
445,139.9874598,"C2H5O5P","Acetylphosphate",0
446,140.0109586,"C6H4O4","cis-4-Carboxymethylenebut-2-en-4-olide",0
447,140.0295856,"C7H8OS","2-Methoxybenzenethiol",0
448,140.040819,"C6H8N2S","2-Methyl-(3 or 5 or 6)-(methylthio)pyrazine (mixture of isomers)",0
449,140.0448995,"C5H7F3O","Trifluoromethyl-bismethyl ketone",0
450,140.0473441,"C7H8O3","Ethyl maltol",0
451,140.0585775,"C6H8N2O2","1,3-Dimethyluracil",0
452,140.0626003,"C11H8","5-Phenyl-1,3-pentadiyne",0
453,140.0659711,"C8H12S","3,4-Diethylthiophene",0
454,140.0837296,"C8H12O2","2,4-Hexadienyl acetate",0
455,140.1061964,"C6H12N4","Metenamine",0
456,140.1201151,"C9H16O","(3Z,6Z)-3,6-Nonadien-1-ol",0
457,140.1565006,"C10H20","p-Menthane",0
458,140.9827088,"CH4NO5P","Carbamoyl phosphate",0
